NO;;;EDC;BG-2;BG-2;1;1..1;EXCHANGE DOCUMENT CONTEXT;A group of business terms providing information on the business process and rules applicable to the Invoice document.;;;;;1..1;1..1;"/rsm:CrossIndustryInvoice

/rsm:ExchangedDocumentContext";/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext;;G;1..1;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice;/rsm:ExchangedDocumentContext;0;
NO;;;EDC;BT-23-00;;2;0..1;(Business process type);;;;;;0..1;0..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocumentContext

/ram:BusinessProcessSpecifiedDocumentContextParameter";/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter;;;0..n;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext;/ram:BusinessProcessSpecifiedDocumentContextParameter;1;
YES;Card 1..1 to be corrected on Xsd;;EDC;BT-23;BT-23;3;0..1;Business process type;Identifies the business process context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way.;To be specifid by the Buyer.;"CHORUSPRO: this data makes it possible to inform the ""cadre de facturation"" (billing framework, which could be invoice from agent, co-contractor, subcontractor, invoicing part of a public works contract, etc.). The codes to be used are defined in the CHORUSPRO specifications: A1 (invoice deposit), A2 (prepaid invoice deposit), ... By default (in the absence of this field), the case A1 is applied.";;Text;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocumentContext
/ram:BusinessProcessSpecifiedDocumentContextParameter

/ram:ID";/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter/ram:ID;T;E;0..1;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:BusinessProcessSpecifiedDocumentContextParameter;/ram:ID;1;
NO;;;EDC;BT-24-00;;2;1..1;(Specification identifier);;;;;;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocumentContext

/ram:GuidelineSpecifiedDocumentContextParameter";/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter;;;0..n;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext;/ram:GuidelineSpecifiedDocumentContextParameter;1;
YES;;;EDC;BT-24;BT-24;3;1..1;Specification identifier;An identification of the specification containing the total set of rules regarding semantic content, cardinalities and business rules to which the data contained in the instance document conforms.;This identifies compiance or conformance to this document. Conformant invoices specify: urn:cen.eu:en16931:2017. Invoices, compliant to a user specification may identify that user specification here. No identification scheme is to be used.;"For profile Minimum : urn:factur-x.eu:1p0:minimum
For profile BASIC WL : urn:factur-x.eu:1p0:basicwl
For profile BASIC : urn:cen.eu:en16931:2017#compliant#urn:factur-x.eu:1p0:basic
For Profile EN 16931 (Comfort) : urn:cen.eu:en16931:2017
For Profile EXTENDED : urn:cen.eu:en16931:2017#conformant#urn:factur-x.eu:1p0:extended";BR-1: An Invoice shall have a Specification identifier (BT-24).;Identifier;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocumentContext
/ram:GuidelineSpecifiedDocumentContextParameter

/ram:ID";/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter/ram:ID;I;E;0..1;CAR-2, CAR-3;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocumentContext/ram:GuidelineSpecifiedDocumentContextParameter;/ram:ID;1;
NO;;;EDC;BT-1-00;;1;1..1;EXCHANGE DOCUMENT;;;;;;1..1;1..1;"/rsm:CrossIndustryInvoice

/rsm:ExchangedDocument";/rsm:CrossIndustryInvoice/rsm:ExchangedDocument;;;1..1;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice;/rsm:ExchangedDocument;0;
YES;;;EDC;BT-1;BT-1;2;1..1;Invoice number;A unique identification of the Invoice.;The sequential number required in Article 226(2) of the directive 2006/112/EC [2], to uniquely identify the Invoice within the business context, time-frame, operating systems and records of the Seller . It may be based on one or more series of numbers, which may include alphanumeric characters. No identification scheme is to be used.;CHORUSPRO: the invoice number is limited to 20 characters;BR-2: An Invoice shall have an Invoice number (BT-1).;Identifier;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocument

/ram:ID";/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID;I;E;0..1;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocument;/ram:ID;1;
YES;;;EDC;BT-3;BT-3;2;1..1;Invoice type code;A code specifying the functional type of the Invoice.;"Commercial invoices and credit notes are defined according the entries in UNTDID 1001 [6]. 
Other  entries of UNTDID 1001 [6] with specific invoices or credit notes may be used if applicable.";"The types of documents used are:
380: Commercial Invoice
381: Credit note
384: Corrected invoice
389: Self-billied invoice (created by the buyer on behalf of the supplier)
261: Self billed credit note (not accepted by CHORUSPRO)
386: Prepayment invoice
751: Invoice information for accounting purposes (not accepted by CHORUSPRO)";BR-4: An Invoice shall have an Invoice type code (BT-3).;Code;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocument

/ram:TypeCode";/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode;C;E;0..1;CAR-2;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocument;/ram:TypeCode;1;
NO;;;EDC;BT-2-00;;2;1..1;(INVOICE ISSUE DATE);The date when the Invoice was issued.;;;;Date;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocument

/ram:IssueDateTime";/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime;D;;1..1;;;;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocument;/ram:IssueDateTime;1;
YES;;;EDC;BT-2;BT-2;3;1..1;Invoice issue date;The date when the Invoice was issued.;;CHORUSPRO: the issue date must be before or equal to the deposit date.;BR-3: An Invoice shall have an Invoice issue date (BT-2).;Date;1..1;1..1;"/rsm:CrossIndustryInvoice
/rsm:ExchangedDocument
/ram:IssueDateTime

/udt:DateTimeString";/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString;D;E;1..1;;"@format=""102""";;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;MINIMUM;MINIMUM;;/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime;/udt:DateTimeString;1;
